positive_ratings,owners,average_playtime,median_playtime,price
94,350000.0,188,189,0.0
82,75000.0,0,0,9.99
91,750000.0,37,43,0.0
84,350000.0,307,307,6.99
91,350000.0,235,231,6.99
78,750000.0,588,617,7.99
66,75000.0,29,29,3.99
94,1500000.0,1135,1183,12.99
94,1500000.0,1307,630,12.99
59,1500000.0,181,99,0.0
79,3500000.0,1242,1076,14.99
95,3500000.0,2485,1431,7.99
70,150000.0,28,28,3.99
86,35000.0,0,0,5.99
85,750000.0,327,420,14.99
71,350000.0,7,7,6.99
67,350000.0,96,96,6.99
72,350000.0,1,1,6.99
72,10000.0,0,0,1.59
61,150000.0,0,0,3.99
52,150000.0,73,73,3.99
80,150000.0,102,102,7.99
70,75000.0,4975,4975,7.99
71,350000.0,319,319,6.99
81,35000.0,0,0,4.79
88,1500000.0,291,425,7.99
46,35000.0,0,0,6.99
88,75000.0,253,380,6.99
74,35000.0,0,0,6.99
57,150000.0,175,175,10.99
61,1500000.0,287,385,34.99
79,3500000.0,2990,3851,0.0
93,3500000.0,444,248,10.99
73,350000.0,6,6,7.99
54,35000.0,0,0,6.99
88,350000.0,48,64,6.99
39,75000.0,13,13,3.99
52,150000.0,46,46,7.99
32,35000.0,0,0,14.99
43,35000.0,0,0,14.99
57,150000.0,31,31,7.19
81,750000.0,1905,2286,9.99
86,1500000.0,431,576,9.99
76,1500000.0,228,289,9.99
88,750000.0,646,693,9.99
80,1500000.0,136,205,9.99
93,350000.0,0,0,9.99
78,350000.0,28,28,9.99
72,350000.0,339,456,9.99
85,3500000.0,1200,671,14.99
95,1500000.0,1087,736,19.99
70,750000.0,777,1365,22.99
76,150000.0,13,13,7.99
55,35000.0,0,0,1.99
86,75000.0,0,0,0.0
82,35000.0,0,0,4.79
83,75000.0,54,54,3.99
82,350000.0,736,1065,9.99
91,150000.0,35,35,7.49
72,75000.0,27,27,3.99
76,750000.0,809,1364,7.99
90,350000.0,356,368,4.99
79,75000.0,400,400,6.99
48,75000.0,0,0,7.99
70,150000.0,0,0,7.99
94,150000.0,72,72,7.99
81,75000.0,14,14,8.99
29,10000.0,0,0,3.99
94,1500000.0,178,251,10.99
85,750000.0,20,26,15.99
73,150000.0,49,64,6.99
60,35000.0,0,0,3.99
54,10000.0,0,0,4.99
58,10000.0,0,0,15.99
38,75000.0,129,193,0.79
63,150000.0,105,105,14.99
92,10000.0,0,0,5.99
67,35000.0,0,0,6.99
80,35000.0,9,9,5.99
36,75000.0,0,0,3.99
49,35000.0,10,10,1.69
33,75000.0,82,82,4.79
59,750000.0,282,301,7.99
67,35000.0,0,0,3.99
93,35000.0,0,0,3.99
77,35000.0,9,9,3.99
89,750000.0,27,27,6.99
79,350000.0,120,160,0.99
77,75000.0,0,0,6.99
88,750000.0,69,110,3.99
36,10000.0,0,0,15.99
62,10000.0,0,0,5.19
92,35000.0,0,0,5.19
85,10000.0,0,0,5.19
90,35000.0,0,0,5.19
94,10000.0,0,0,5.19
89,10000.0,0,0,5.19
88,10000.0,0,0,5.19
45,10000.0,0,0,5.19
93,10000.0,0,0,5.19
86,10000.0,0,0,5.19
73,10000.0,0,0,5.19
81,10000.0,0,0,5.19
76,10000.0,0,0,5.19
75,10000.0,0,0,5.19
66,10000.0,0,0,5.19
0,10000.0,0,0,3.99
76,75000.0,0,0,5.99
57,10000.0,0,0,6.99
68,75000.0,0,0,5.99
98,10000.0,0,0,3.99
